num_leaves,max_depth,learning_rate,min_split_gain,reg_alpha,reg_lambda,seed,roc_auc
61,97,0.27533066758186586,0.0022161925757241715,0.20386376144871077,0.2976478089566269,186,0.53115334980014
58,27,0.12300634769641144,0.19153507586996132,0.2792894557065554,0.10840058368912345,2859,0.533556895236125
22,48,0.3138072620664694,0.11185524064145493,0.06525269153184884,0.12294795194805896,1162,0.5357668356491021
85,66,0.39195954628501284,0.49802006912839714,0.30583663282564055,0.06984465056092137,2569,0.519082956638432
54,76,0.33946059728341704,0.0005131148703210454,0.4774518647162435,0.3943494838499025,1462,0.5208289219368301
75,83,0.417486028736069,0.00179133782460426,0.10404087994920379,0.14795202746503672,740,0.5194384858625009
96,47,0.226256022316514,0.007258164366264799,0.18635016062302648,0.002103718889994438,286,0.5327011068791792
90,8,0.17144101327617428,0.002021014448572301,0.4978069592738212,0.33282394455207087,302,0.530978428338793
74,98,0.3195533249285934,0.30492400097144645,0.47796185666927643,0.24962717087076966,1068,0.5248728299313907
58,56,0.2504760726918216,0.3633115791477458,0.39487838810187004,0.12774114755251942,2767,0.5474375630570206
2,83,0.2348145807180746,0.11816599887903574,0.4610394378655187,1e-06,3200,0.5881265017928096
2,32,0.18609159296211736,0.17306805755201066,0.4220052545119199,0.02619630964329455,3200,0.5905151545347171
2,33,0.19188312865517237,0.495183337768584,0.09109300460455934,0.4086114119351285,0,0.5897075643513312
2,21,0.5,0.20326429502892848,0.47580732284300353,0.3828675960832605,3152,0.5819691174264559
2,75,0.1,0.0005,0.08243400604679449,0.4961820872927458,1424,0.5926561823905536
5,28,0.1,0.011500246701015397,0.3256738040850683,0.04439363465700247,1296,0.5785399392269771
2,8,0.3739633523021565,0.0005704640486730383,0.24620016458007962,0.41788208840829916,2111,0.584016185921476
37,54,0.490292830448811,0.020201503650378913,0.020766242160326524,0.21352515687431647,1659,0.5201269344932666
2,74,0.4818334028734548,0.000715088073206896,0.007282856666486151,0.23851952156284023,2362,0.5812362614897135
12,64,0.49712089480026733,0.0005767823817369446,0.20589122596158818,0.04243268725148769,1113,0.5302046851874015
29,5,0.1,0.004219425385405567,0.2164397224315684,0.49980736149151456,2961,0.5589465016520059
45,5,0.1,0.029488633680353565,0.02664026685152279,0.3379351150682613,2612,0.5536866728800791
68,19,0.5,0.426732442400539,0.43562519169855385,0.09766335654801357,405,0.536876612134134
5,5,0.5,0.024401862708273183,0.2532644549079794,0.4355485776845219,364,0.5530012027881289
100,23,0.49430160240202115,0.494222316669771,0.1353102527746476,0.15993008599885689,475,0.5233017860943395
36,89,0.1,0.059942303865929976,0.03483076500459387,0.19453972269412306,0,0.5504361393154668
2,91,0.11639489698651792,0.14128835490666947,0.003984397988395748,0.457214235283832,2771,0.592370851910841
31,77,0.5,0.012393609095212898,0.16514550616267168,0.48800491283220554,502,0.5305741593886522
14,21,0.10860690640648617,0.30954084090742784,0.26869696842236773,0.1140269266568056,1063,0.5672388891025013
61,63,0.48316628687114316,0.0007710025557181811,0.4449010124669835,0.19578693032315944,3188,0.524413322625035
16,67,0.10049325809246154,0.000564733898419152,0.010168787423008918,0.27605186243434954,945,0.55822359674267
9,24,0.1,0.0009740926755651343,0.35668778347032515,0.25348418397543865,1344,0.5720850394493927
2,87,0.11112479988109901,0.33709792106395303,0.14124038588670387,0.04317693893383148,34,0.5924694821620725
45,69,0.4979218143615465,0.00106259857313394,0.46440674622144434,0.08703923908840294,960,0.5212405018458818
2,99,0.13311637728708836,0.0005269187812378017,0.3090418016094856,0.34679891507434113,846,0.5921404890110872
2,57,0.10475664590861702,0.0013009437679863155,0.19045999727326055,0.01020531692825715,2346,0.5926530007695461
100,79,0.11272851934895331,0.013922547087941689,0.456491418854028,0.10752859042563154,644,0.5494938379447433
81,28,0.10058550074834396,0.012918257903060852,0.0031440929858437172,0.21936275492454482,220,0.5448355386254206
68,68,0.10231627978343166,0.27602044705414625,0.2416478104647378,0.09319021974949267,546,0.545815884060106
41,29,0.10359349912727955,0.020105895213815984,0.4358369153741291,0.44181471167120134,1931,0.5432505498111877
25,57,0.10069811822081035,0.05895363463737731,0.3625842312722667,0.4310684271101799,1437,0.557325364207603
92,9,0.4946005007835099,0.0028592485120780844,0.477632041591845,0.34809912201097987,2883,0.5293122066477737
26,85,0.4988807313703726,0.0006836049720700168,0.02427981674515871,0.43380389314239287,278,0.5190362477342797
18,35,0.496830746805464,0.0010655504030776467,0.0907334590073512,0.05721527377136369,681,0.5330781628155965
50,19,0.10110055689485833,0.0018902876112713316,0.15034724152359602,0.04068457327101975,1123,0.5555665370370471
76,68,0.10019759856274756,0.0010133502584187153,0.36082138500867866,0.3221132819204939,149,0.5438186383961815
7,53,0.2570949528366723,0.07660606237875321,0.40900898915049,0.43108266102488624,1032,0.5487091283549855
21,8,0.10123148580367967,0.2784027276468484,0.4023363377350742,0.4486819443461943,2088,0.5584718308753167
48,39,0.23727581573725492,0.48097366376746803,0.3150265251511076,0.011041705643281906,1941,0.5313881128140531
32,82,0.25052711513135106,0.01677683273851104,0.3936307704106632,0.007212714935523018,1905,0.5381530514047059
14,58,0.2712133504718637,0.014914570132034639,0.3903725550545624,0.48162925430821985,3039,0.5470278785817606
86,79,0.10198541749302935,0.08125543363157503,0.43242548782828144,0.48777563424409964,434,0.5467530406819662
80,6,0.4938314391101051,0.002228099098448035,0.47472221525341085,0.014710722623418993,186,0.5256781185166011
72,66,0.10731852481259932,0.10670360696043453,0.485642049626876,0.24741477805417225,1805,0.5516083297274962
94,38,0.10072765366239654,0.0033207084842878766,0.0428601265021823,0.05504046832206703,2414,0.5356521619047052
41,46,0.30638454854388375,0.0221568562506248,0.07432148097618091,0.03905042105560274,1818,0.5333779121309388
68,45,0.29732490303417075,0.01903927681148519,0.02775490853113859,0.28599275016485,1110,0.5355854155576123
56,67,0.49871350345806664,0.04858699556407623,0.4540871147115773,0.23286011795631936,197,0.5286706023092882
27,51,0.2582541252217371,0.23627991667810505,0.22965061247380494,0.12814620470953947,245,0.5308699824482831
54,75,0.10663802594308827,0.036996022842900114,0.4402828705587672,0.2586451642206238,2467,0.5478238253861405
100,40,0.29118006511128036,0.01555587087446322,0.47927018212762607,0.15233643932483198,2756,0.5255601954571326
50,44,0.4985498703155512,0.060438590377113924,0.20330828244724786,0.29811687326612296,477,0.529245054136297
80,9,0.27274654990868574,0.014155114279087387,0.32587067059576963,0.030678995694168057,656,0.5255599246808766
32,46,0.10181400391564083,0.0011956063987113227,0.15279641193896898,0.19010087475164117,397,0.5567503708280825
18,7,0.24586114196984557,0.015622586455310032,0.2285809430947973,0.4687599636433113,1153,0.5544369938853306
4,42,0.19386224312521558,0.0005626457727699426,0.48428452021736756,0.05735621641277282,344,0.5702055137627448
63,42,0.10035371802456101,0.013566575715843878,0.411071096515531,0.3130609955604716,1014,0.5496705194517539
11,25,0.17953489590681626,0.23492425384960836,0.1412969822773232,0.2283700825441651,1775,0.5601544345298214
37,96,0.2631089317205113,0.0013704921319212936,0.10457556582345874,0.45126263416289564,79,0.5277343934043236
88,77,0.4997276229897928,0.0018490722779573702,0.03926651666725541,0.07693214361094779,1017,0.5307933527678478
72,14,0.49705238231677296,0.004110669304721507,0.283475229449896,0.42287009395210273,2656,0.5202477007034225
96,37,0.48699649871972517,0.2753316721457869,0.17329283032812304,0.4547062424123031,504,0.5139296783232234
4,77,0.35254180039274174,0.0011977627099952074,0.36563591743774276,0.32484554801992366,2635,0.5646502004015069
3,23,0.10016695398497388,0.22771095261570765,0.41574489429308786,0.06225704645482149,2805,0.5860271057863261
91,44,0.33621219622886944,0.1728631038751705,0.08923516778306048,0.19954801423719892,223,0.5128125908792809
9,13,0.3929962987339489,0.010644169017012017,0.4454913021733965,0.44935013593882106,2141,0.5429933123680304
84,76,0.20950819545433264,0.002206404576334144,0.35545509537540676,0.4475627582289486,3073,0.5355752614480139
22,29,0.4991641697962318,0.0006403030115113558,0.22903081823283972,0.4788334549241531,2880,0.5336092904416523
65,98,0.3999427983404852,0.15506115774327023,0.0061360975676303655,0.20475245111409396,2919,0.5278716769660928
11,63,0.10006558198355667,0.0026101881178098043,0.4941783816802154,0.4866129436134865,2888,0.5659317167268783
41,86,0.4995519637645055,0.01691561881415695,0.37966826873933673,0.13965096733905943,2788,0.5246311621229508
44,5,0.2352682940255402,0.002459086543370595,0.018751143250282223,0.36703552286071267,1794,0.5417745484399767
65,90,0.20052644749505374,0.032636978841619736,0.22854723160243015,0.2142868545580069,2406,0.5346643701229812
97,96,0.10787077785062267,0.005614339343168688,0.22167909844327424,0.1325567111913482,613,0.5449044511825611
17,20,0.3702226707066575,0.04763853423710482,0.39977197569204204,0.24847696209765838,1742,0.5441070151087735
84,29,0.4984529255667901,0.3886973878410877,0.4788545655293087,0.0787748400541126,1691,0.5276522128106412
23,2,0.1809616145396847,0.004623797810113552,0.1699656279367688,0.3278005053328729,1597,0.5734227418478747
2,28,0.30217606154713433,0.0006021313539573802,0.035210896813568544,0.02150830049960249,1038,0.5864409195994894
53,15,0.2082304684496965,0.10206683363367978,0.18989571739655098,0.14229107753234266,1998,0.531714262814351
71,71,0.20603939452415532,0.0034063402189052024,0.19664902326412245,0.11112671742681707,1686,0.5377803278883839
33,20,0.3835395632408326,0.0006099087778124196,0.029888420335345244,0.24830590793945936,2709,0.5341911886156997
2,78,0.36427927356670375,0.0007155711099235843,0.3947104148254729,0.12579011020133238,447,0.5842106032732517
21,84,0.19678166133139952,0.011688783184110754,0.39057920272196434,0.1416428460754225,205,0.5510723281288331
7,91,0.1032114817381479,0.002693385930903113,0.31776706431755103,0.006852609884106189,1133,0.5706895940143284
46,100,0.10580149108206444,0.000599172243991195,0.4516331960542936,0.1525322836687261,2234,0.5519726591798837
35,3,0.1500420002012137,0.0038414080731717674,0.4650588356148672,0.16012854678535485,1251,0.5685512062269875
98,1,0.11402040851747396,0.00517415435524034,0.15611630137996002,0.27376074539203415,1659,0.5923246168651366
100,1,0.1,0.4310476912637144,0.06963110523949152,0.3810148534859821,2004,0.5926564531668096
72,4,0.11180659877877873,0.0011533796243523456,0.4436167180549743,0.3054142380950549,2571,0.56317426672436
2,7,0.14888075585747573,0.40697987116535367,0.19953693804498407,0.3490779955373484,1683,0.5913714844441749
63,1,0.2939427441915064,0.044527258751661636,0.18792068708708784,0.24794957542105844,814,0.5869803059013519
